per_typ,marijuana,alcohol,per_type_label,age_group,cases
1,1,1,Driver,70,54
2,0,0,Passenger,70,13648
2,0,1,Passenger,70,41
2,1,0,Passenger,70,11
2,1,1,Passenger,70,1
3,0,0,Stationary Vehicle Occupant,70,120
3,0,1,Stationary Vehicle Occupant,70,1
3,1,0,Stationary Vehicle Occupant,70,1
4,0,0,Non-motorized Vehicle Occupant,70,15
4,0,1,Non-motorized Vehicle Occupant,70,1
5,0,0,Pedestrian,70,5854
5,0,1,Pedestrian,70,394
5,1,0,Pedestrian,70,59
5,1,1,Pedestrian,70,4
6,0,0,Bicyclist,70,719
6,0,1,Bicyclist,70,30
6,1,0,Bicyclist,70,17
6,1,1,Bicyclist,70,2
7,0,0,Unicycle/Tricycle,70,11
8,0,0,Construction Worker,70,203
8,0,1,Construction Worker,70,13
8,1,0,Construction Worker,70,5
1,0,0,Driver,75,31081
1,0,1,Driver,75,902
1,1,0,Driver,75,74
1,1,1,Driver,75,15
2,0,0,Passenger,75,12351
2,0,1,Passenger,75,22
2,1,0,Passenger,75,9
3,0,0,Stationary Vehicle Occupant,75,67
4,0,0,Non-motorized Vehicle Occupant,75,17
5,0,0,Pedestrian,75,5322
5,0,1,Pedestrian,75,201
5,1,0,Pedestrian,75,17
6,0,0,Bicyclist,75,534
6,0,1,Bicyclist,75,8
7,0,0,Unicycle/Tricycle,75,5
8,0,0,Construction Worker,75,169
8,0,1,Construction Worker,75,4
8,1,0,Construction Worker,75,1
1,0,0,Driver,80,23365
1,0,1,Driver,80,438
1,1,0,Driver,80,30
1,1,1,Driver,80,4
2,0,0,Passenger,80,9861
2,0,1,Passenger,80,10
2,1,0,Passenger,80,1
3,0,0,Stationary Vehicle Occupant,80,35
4,0,0,Non-motorized Vehicle Occupant,80,7
5,0,0,Pedestrian,80,4405
5,0,1,Pedestrian,80,99
5,1,0,Pedestrian,80,6
5,1,1,Pedestrian,80,1
6,0,0,Bicyclist,80,261
6,0,1,Bicyclist,80,3
6,1,0,Bicyclist,80,1
7,0,0,Unicycle/Tricycle,80,2
7,0,1,Unicycle/Tricycle,80,1
8,0,0,Construction Worker,80,138
8,0,1,Construction Worker,80,2
1,0,0,Driver,85,13825
1,0,1,Driver,85,165
1,1,0,Driver,85,18
1,1,1,Driver,85,3
2,0,0,Passenger,85,6306
2,0,1,Passenger,85,5
2,1,0,Passenger,85,2
3,0,0,Stationary Vehicle Occupant,85,14
4,0,0,Non-motorized Vehicle Occupant,85,2
5,0,0,Pedestrian,85,2597
5,0,1,Pedestrian,85,39
5,1,0,Pedestrian,85,9
6,0,0,Bicyclist,85,140
6,0,1,Bicyclist,85,3
7,0,0,Unicycle/Tricycle,85,2
8,0,0,Construction Worker,85,96
1,0,0,Driver,90,4644
1,0,1,Driver,90,43
1,1,0,Driver,90,5
1,1,1,Driver,90,1
2,0,0,Passenger,90,2693
2,0,1,Passenger,90,2
3,0,0,Stationary Vehicle Occupant,90,12
5,0,0,Pedestrian,90,973
5,0,1,Pedestrian,90,11
6,0,0,Bicyclist,90,30
6,1,0,Bicyclist,90,1
7,0,0,Unicycle/Tricycle,90,4
8,0,0,Construction Worker,90,58
8,0,1,Construction Worker,90,2
1,0,0,Driver,95,8667
1,0,1,Driver,95,142
1,1,0,Driver,95,7
2,0,0,Passenger,95,10588
2,0,1,Passenger,95,79
2,1,0,Passenger,95,3
3,0,0,Stationary Vehicle Occupant,95,57
4,0,0,Non-motorized Vehicle Occupant,95,13
5,0,0,Pedestrian,95,551
5,0,1,Pedestrian,95,70
5,1,0,Pedestrian,95,6
5,1,1,Pedestrian,95,1
6,0,0,Bicyclist,95,40
6,0,1,Bicyclist,95,9
8,0,0,Construction Worker,95,31
1,0,0,Driver,100,12
2,0,0,Passenger,100,16
5,0,0,Pedestrian,100,3
